x,y,z,x_L,y_L,z_L,theta,x_dot,y_dot,z_dot,x_Ldot,y_Ldot,z_Ldot,theta_dot,Cable_Length,u1,u2
0.0,0.0,5.0,0.0,0.0,5.099999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999990463256836,0.0,0.0
0.0,-2.5894824062788757e-09,5.000185012817383,0.0,0.0,5.0980377197265625,7.236057626869297e-06,0.0,-5.178965238883393e-07,0.01851492002606392,0.0,0.0,-0.19620001316070557,0.0007236057426780462,0.09785269945859909,14.497328758239746,14.489188194274902
0.0,-4.243646145596358e-08,5.000746726989746,0.0,0.0,5.092151641845703,3.1509400287177414e-05,0.0,-4.3380059651099145e-06,0.03766351938247681,0.0,0.0,-0.39240002632141113,0.0017037286888808012,0.09140491485595703,14.541544914245605,14.530518531799316
0.0,-2.1904025970798102e-07,5.001696586608887,0.0,0.0,5.08234167098999,5.809954018332064e-05,0.0,-1.4279022252594586e-05,0.05732914060354233,0.0,0.0,-0.5886000394821167,0.0009552850387990475,0.08064508438110352,14.566720008850098,14.575139999389648
0.0,-6.442822950702976e-07,5.003045558929443,0.0,0.0,5.068607807159424,7.758925494272262e-05,0.0,-2.8948179533472285e-05,0.07755094766616821,0.0,0.0,-0.7848000526428223,0.0009936863789334893,0.06556224822998047,14.608689308166504,14.608257293701172
0.0,-1.407749550708104e-06,5.00480318069458,0.0,0.0,5.050949573516846,0.00010269843915011734,0.0,-4.8306006647180766e-05,0.0981936901807785,0.0,0.0,-0.9810000658035278,0.00151723250746727,0.046146392822265625,14.639830589294434,14.633940696716309
0.0,-2.6213399451080477e-06,5.006977558135986,0.0,0.0,5.029367446899414,0.00013962725643068552,0.0,-7.439014734700322e-05,0.11924298107624054,0.0,0.0,-1.1772000789642334,0.0021756491623818874,0.022389888763427734,14.668030738830566,14.660623550415039
0.0,-4.4511161831906065e-06,5.009576320648193,0.0,0.0,5.003861427307129,0.00020131090423092246,0.0,-0.00011082447599619627,0.14063847064971924,0.0,0.0,-1.373400092124939,0.003992716781795025,0.005714894738048315,14.697917938232422,14.677475929260254
0.0,-7.168968295445666e-06,5.012603759765625,0.0,0.0,4.97443151473999,0.00029548644670285285,0.0,-0.00016437745944131166,0.16212306916713715,0.0,0.0,-1.5696001052856445,0.005424838978797197,0.038172245025634766,14.701767921447754,14.685656547546387
0.0,-1.1182624803041108e-05,5.016063690185547,0.0,0.0,4.941077709197998,0.00041300879092887044,0.0,-0.00024125709023792297,0.1838708221912384,0.0,0.0,-1.76580011844635,0.006327396258711815,0.07498598098754883,14.716552734375,14.706398963928223
0.0,-1.699780477792956e-05,5.01995849609375,0.0,0.0,4.903799533843994,0.0005337897455319762,0.0,-0.00034464849159121513,0.20563040673732758,0.0,0.0,-1.9620001316070557,0.00575069896876812,0.11615896224975586,14.709031105041504,14.715518951416016
0.0,-2.5134504539892077e-05,5.024288654327393,0.0,0.0,4.862597465515137,0.0006398290279321373,0.0,-0.00047287362394854426,0.2273871749639511,0.0,0.0,-2.158200263977051,0.004853227641433477,0.16169118881225586,14.707036972045898,14.717133522033691
0.0,-3.605426536523737e-05,5.029055118560791,0.0,0.0,4.817471504211426,0.0007273110677488148,0.0,-0.0006222817464731634,0.24924801290035248,0.0,0.0,-2.354400157928467,0.0038949756417423487,0.21158361434936523,14.713720321655273,14.72450065612793
0.0,-5.014041380491108e-05,5.0342607498168945,0.0,0.0,4.768421649932861,0.0007947438862174749,0.0,-0.0007887862157076597,0.2713366150856018,0.0,0.0,-2.550600051879883,0.0028483073692768812,0.2658390998840332,14.728597640991211,14.740372657775879
0.0,-6.769466563127935e-05,5.039910316467285,0.0,0.0,4.715447425842285,0.0008536411332897842,0.0,-0.0009687835699878633,0.2936142086982727,0.0,0.0,-2.746799945831299,0.0030414159409701824,0.324462890625,14.748331069946289,14.746158599853516
0.0,-8.898635132936761e-05,5.046011447906494,0.0,0.0,4.6585493087768555,0.0009182264911942184,0.0,-0.0011627428466454148,0.3165009617805481,0.0,0.0,-2.942999839782715,0.0034171212464571,0.38746216893196106,14.790475845336914,14.786249160766602
0.0,-0.00011430991435190663,5.052577972412109,0.0,0.0,4.597727298736572,0.0009861061116680503,0.0,-0.0013721007853746414,0.34015846252441406,0.0,0.0,-3.139199733734131,0.003370836144313216,0.4548507034778595,14.840127944946289,14.840648651123047
0.0,-0.00014397608174476773,5.059628009796143,0.0,0.0,4.5329813957214355,0.0010441293707117438,0.0,-0.0015957981813699007,0.3617044687271118,0.0,-9.212445547746029e-06,-3.301708459854126,0.0024314881302416325,0.526646614074707,14.903149604797363,14.913717269897461
0.0,-0.0001682212605373934,5.033074855804443,0.0,-1.9088207409367897e-05,4.534074783325195,0.0010656239464879036,0.0,-0.00174055271781981,0.0580684095621109,0.0,-0.0009838321711868048,0.05806891620159149,-0.00028203334659338,0.49900007247924805,14.957669258117676,14.98819637298584
0.0,-0.0002053356438409537,5.034307956695557,0.0,-3.939433736377396e-05,4.535307884216309,0.0010548860300332308,0.0,-0.0019703847356140614,0.065228171646595,0.0,-0.001047921716235578,0.06522870063781738,-0.0007917616749182343,0.49900010228157043,14.994924545288086,15.000658988952637
